Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_166043_20180710_20180717_01_T1,LC81660432018191LGN00,2018/07/10,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/07/17,2018:191:07:22:31.1566260,2018:191:07:23:02.9266240,LGN,DAY,0,0,482,4,7.728,5.154,5.758,9,LPGS_13.1.0,67.25443259,90.81376952,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15201,7741,7601,7741,7601,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180710065752_20180710084331.01,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.77"N,45°57'20.59"E,25°35'58.34"N,45°14'28.97"E,25°13'34.28"N,47°05'20.33"E,23°52'11.21"N,44°49'59.20"E,23°29'42.58"N,46°39'18.36"E,24.55327,45.95572,25.59954,45.24138,25.22619,47.08898,23.86978,44.83311,23.49516,46.6551,LC08_L1TP_166043_20180710_20180717_01_T1,LC81660432018191LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018191LGN00
LC08_L1TP_165043_20180703_20180717_01_T1,LC81650432018184LGN00,2018/07/03,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/07/17,2018:184:07:16:16.8932520,2018:184:07:16:48.6632510,LGN,DAY,0,0,196,4,9.128,5.913,6.953,9,LPGS_13.1.0,67.62608925,89.0554725,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180703065114_20180703083716.01,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'10.94"N,47°29'56.29"E,25°35'57.66"N,46°47'03.55"E,25°13'33.35"N,48°37'56.89"E,23°52'10.63"N,46°22'34.14"E,23°29'41.71"N,48°11'55.25"E,24.55304,47.49897,25.59935,46.78432,25.22593,48.63247,23.86962,46.37615,23.49492,48.19868,LC08_L1TP_165043_20180703_20180717_01_T1,LC81650432018184LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018184LGN00
LC08_L1TP_166043_20180624_20180704_01_T1,LC81660432018175LGN00,2018/06/24,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/07/04,2018:175:07:22:22.6296790,2018:175:07:22:54.3996770,LGN,DAY,0,0,476,4,7.932,5.362,5.845,9,LPGS_13.1.0,68.08426988,88.01743002,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180624065608_20180624084322.02,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.63"N,45°57'16.60"E,25°35'58.20"N,45°14'25.01"E,25°13'34.00"N,47°05'16.62"E,23°52'11.10"N,44°49'55.20"E,23°29'42.32"N,46°39'14.62"E,24.55323,45.95461,25.5995,45.24028,25.22611,47.08795,23.86975,44.832,23.49509,46.65406,LC08_L1TP_166043_20180624_20180704_01_T1,LC81660432018175LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018175LGN00
LC08_L1TP_165043_20180617_20180703_01_T1,LC81650432018168LGN00,2018/06/17,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/07/03,2018:168:07:16:07.3120530,2018:168:07:16:39.0820520,LGN,DAY,0,0,204,4,8.964,5.987,6.671,9,LPGS_13.1.0,68.4102375,88.22050106,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180617064953_20180617083707.01,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'10.51"N,47°30'04.75"E,25°35'57.08"N,46°47'12.19"E,25°13'32.70"N,48°38'05.46"E,23°52'10.06"N,46°22'42.67"E,23°29'41.10"N,48°12'03.74"E,24.55292,47.50132,25.59919,46.78672,25.22575,48.63485,23.86946,46.37852,23.49475,48.20104,LC08_L1TP_165043_20180617_20180703_01_T1,LC81650432018168LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018168LGN00
LC08_L1TP_166043_20180608_20180615_01_T1,LC81660432018159LGN00,2018/06/08,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/06/15,2018:159:07:22:11.6349250,2018:159:07:22:43.4049240,LGN,DAY,0,0,483,4,7.943,5.279,5.935,9,LPGS_13.1.0,68.73643741,89.8292297,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15201,7741,7601,7741,7601,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180608065732_20180608084311.01,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.16"N,45°57'42.23"E,25°35'57.80"N,45°14'50.75"E,25°13'33.71"N,47°05'41.96"E,23°52'10.52"N,44°50'21.01"E,23°29'41.86"N,46°39'40.03"E,24.5531,45.96173,25.59939,45.24743,25.22603,47.09499,23.86959,44.83917,23.49496,46.66112,LC08_L1TP_166043_20180608_20180615_01_T1,LC81660432018159LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018159LGN00
LC08_L1TP_165043_20180601_20180614_01_T1,LC81650432018152LGN00,2018/06/01,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/06/14,2018:152:07:15:59.7323870,2018:152:07:16:31.5023860,LGN,DAY,0,0,211,4,8.888,5.885,6.661,9,LPGS_13.1.0,68.85510544,92.10674031,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180601065121_20180601083700.01,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.52"N,47°29'37.68"E,25°35'58.31"N,46°46'46.27"E,25°13'34.14"N,48°37'37.78"E,23°52'10.70"N,46°22'16.36"E,23°29'41.96"N,48°11'35.74"E,24.5532,47.4938,25.59953,46.77952,25.22615,48.62716,23.86964,46.37121,23.49499,48.19326,LC08_L1TP_165043_20180601_20180614_01_T1,LC81650432018152LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018152LGN00
LC08_L1TP_166043_20180523_20180605_01_T1,LC81660432018143LGN00,2018/05/23,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/06/05,2018:143:07:22:17.9034190,2018:143:07:22:49.6734170,LGN,DAY,0,0,481,4,7.549,5.205,5.467,9,LPGS_13.1.0,68.7644929,96.22839534,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180523065802_20180523084317.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'10.44"N,45°55'15.35"E,25°35'54.82"N,45°12'21.35"E,25°13'36.66"N,47°03'11.81"E,23°52'06.10"N,44°47'57.62"E,23°29'43.30"N,46°37'15.89"E,24.5529,45.92093,25.59856,45.20593,25.22685,47.05328,23.86836,44.79934,23.49536,46.62108,LC08_L1TP_166043_20180523_20180605_01_T1,LC81660432018143LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018143LGN00
LC08_L1TP_165043_20180516_20180604_01_T1,LC81650432018136LGN00,2018/05/16,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/06/04,2018:136:07:16:12.5758440,2018:136:07:16:44.3458430,LGN,DAY,20.29,20.29,171,4,9.478,5.781,7.511,9,LPGS_13.1.0,68.4393614,100.19439817,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180516065221_20180516083114.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.16"N,47°27'53.89"E,25°35'55.57"N,46°44'59.06"E,25°13'36.95"N,48°35'51.32"E,23°52'07.10"N,46°20'35.20"E,23°29'43.84"N,48°09'55.26"E,24.5531,47.46497,25.59877,46.74974,25.22693,48.59759,23.86864,46.34311,23.49551,48.16535,LC08_L1TP_165043_20180516_20180604_01_T1,LC81650432018136LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018136LGN00
LC08_L1TP_166043_20180507_20180517_01_T1,LC81660432018127LGN00,2018/05/07,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/05/17,2018:127:07:22:29.5994740,2018:127:07:23:01.3694730,LGN,DAY,.32,.32,503,4,7.432,5.124,5.383,9,LPGS_13.1.0,67.59127748,105.85892111,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180507070524_20180507073714.01,LT8BPF20180430100912_20180514113108.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'10.22"N,45°55'19.09"E,25°35'54.64"N,45°12'25.02"E,25°13'36.34"N,47°03'15.70"E,23°52'06.02"N,44°48'01.22"E,23°29'43.08"N,46°37'19.67"E,24.55284,45.92197,25.59851,45.20695,25.22676,47.05436,23.86834,44.80034,23.4953,46.62213,LC08_L1TP_166043_20180507_20180517_01_T1,LC81660432018127LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018127LGN00
LC08_L1TP_165043_20180430_20180502_01_T1,LC81650432018120LGN00,2018/04/30,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/05/02,2018:120:07:16:22.9793190,2018:120:07:16:54.7493180,LGN,DAY,0,0,312,4,8.511,5.443,6.543,9,LPGS_13.0.0,66.5634588,110.40557291,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180430065917_20180430072908.01,LT8BPF20180414000401_20180430074753.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.09"N,47°28'16.03"E,25°35'55.72"N,46°45'21.10"E,25°13'36.88"N,48°36'13.64"E,23°52'07.21"N,46°20'57.26"E,23°29'43.73"N,48°10'17.54"E,24.55308,47.47112,25.59881,46.75586,25.22691,48.60379,23.86867,46.34924,23.49548,48.17154,LC08_L1TP_165043_20180430_20180502_01_T1,LC81650432018120LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018120LGN00
LC08_L1TP_166043_20180421_20180502_01_T1,LC81660432018111LGN00,2018/04/21,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/05/02,2018:111:07:22:38.4482310,2018:111:07:23:10.2182300,LGN,DAY,0,0,530,4,7.104,5.078,4.968,9,LPGS_13.0.0,64.77845668,116.05293341,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180421070533_20180421073723.01,LT8BPF20180414000401_20180430074753.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.05"N,45°55'58.22"E,25°35'55.54"N,45°13'04.12"E,25°13'36.98"N,47°03'55.19"E,23°52'06.92"N,44°48'40.07"E,23°29'43.73"N,46°37'58.87"E,24.55307,45.93284,25.59876,45.21781,25.22694,47.06533,23.86859,44.81113,23.49548,46.63302,LC08_L1TP_166043_20180421_20180502_01_T1,LC81660432018111LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018111LGN00
LC08_L1TP_165043_20180414_20180501_01_T1,LC81650432018104LGN00,2018/04/14,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/05/01,2018:104:07:16:31.9550300,2018:104:07:17:03.7250290,LGN,DAY,0,0,338,4,7.925,5.103,6.064,9,LPGS_13.0.0,63.06200237,120.12830285,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180414065926_20180414072917.01,LT8BPF20180414000401_20180430074753.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'10.30"N,47°28'49.40"E,25°35'55.00"N,46°45'54.32"E,25°13'35.83"N,48°36'47.23"E,23°52'06.67"N,46°21'30.28"E,23°29'42.86"N,48°10'50.95"E,24.55286,47.48039,25.59861,46.76509,25.22662,48.61312,23.86852,46.35841,23.49524,48.18082,LC08_L1TP_165043_20180414_20180501_01_T1,LC81650432018104LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018104LGN00
LC08_L1TP_166043_20180405_20180417_01_T1,LC81660432018095LGN00,2018/04/05,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/04/17,2018:095:07:22:48.0168580,2018:095:07:23:19.7868560,LGN,DAY,42.06,42.06,273,4,7.812,5.606,5.441,9,LPGS_13.0.0,60.50633053,124.82003372,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15161,7741,7581,7741,7581,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180405070542_20180405075044.01,LT8BPF20180331195309_20180413213732.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.70"N,45°56'15.43"E,25°35'56.15"N,45°13'21.18"E,25°13'37.24"N,47°04'12.72"E,23°52'07.82"N,44°48'57.02"E,23°29'44.30"N,46°38'16.30"E,24.55325,45.93762,25.59893,45.22255,25.22701,47.0702,23.86884,44.81584,23.49564,46.63786,LC08_L1TP_166043_20180405_20180417_01_T1,LC81660432018095LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018095LGN00
